city,latd,longd,elevation_m,elevation_ft,population_total,area_total_sq_mi,area_land_sq_mi,area_water_sq_mi,area_total_km2,area_land_km2,area_water_km2,area_water_percent
Calabasas,34.1383333333333,-118.660833333333,243.0,5.0,23058.0,13.3,13.249,0.051,34.4,34.27,0.131,0.38
Calexico,32.6788888888889,-115.498888888889,,3.0,38572.0,8.391,8.391,0.0,21.733,21.733,0.0,0.0
CaliforniaCity,35.1258333333333,-117.985833333333,733.0,2405.0,14120.0,203.631,203.523,0.108,527.401,527.122,0.279,0.05
Calimesa,33.9880555555556,-117.043055555556,729.0,2392.0,7879.0,14.847,14.847,0.0,38.454,38.454,0.0,0.0
Calipatria,33.1255555555556,-115.514166666667,,-180.0,7705.0,3.716,3.716,0.0,9.624,9.624,0.0,0.0
Calistoga,38.5813888888889,-122.582777777778,106.0,348.0,5155.0,2.613,2.595,0.018,6.769,6.722,0.047,0.7
Camarillo,34.2333333333333,-119.033333333333,54.0,177.0,65201.0,19.543,19.528,0.015,50.617,50.577,0.04,0.08
Campbell,37.2838888888889,-121.955,60.0,197.0,39349.0,5.886,5.798,0.088,15.245,15.017,0.228,1.49
CanyonLake,33.6841666666667,-117.255555555556,422.0,1385.0,10561.0,4.671,3.928,0.743,12.099,10.173,1.926,15.92
Capitola,36.9763888888889,-121.954722222222,4.0,13.0,9918.0,1.676,1.593,0.083,4.34,4.126,0.214,4.92
Carlsbad,33.1219444444444,-117.296944444444,16.0,52.0,105328.0,39.11,37.722,1.388,101.295,97.699,3.596,3.55
CarmelbytheSea,,-121.923333333333,,,3722.0,1.08,1.08,0.0,2.798,2.798,0.0,0.0
Carpinteria,34.3991666666667,-119.516388888889,10.0,33.0,13040.0,9.272,2.586,6.686,24.012,6.697,17.315,
Carson,33.8397222222222,,8.2,27.0,91714.0,18.968,18.724,0.244,49.127,48.495,0.631,
CathedralCity,33.8077777777778,-116.464722222222,100.0,328.0,51200.0,21.756,21.499,0.257,56.349,55.683,0.666,1.18
