city,latd,longd,elevation_m,elevation_ft,population_total,area_total_sq_mi,area_land_sq_mi,area_water_sq_mi,area_total_km2,area_land_km2,area_water_km2,area_water_percent
Lemoore,36.3008333333333,-119.782777777778,70.0,230.0,25281.0,8.517,8.517,0.0,22.058,22.058,0.0,0.0
Lincoln,38.8872222222222,-121.296111111111,51.0,167.0,42819.0,20.13,20.106,0.024,52.137,52.075,0.062,0.12
Lindsay,36.2,-119.083333333333,118.0,387.0,11768.0,2.61,2.61,0.0,6.759,6.759,0.0,0.0
LiveOakSutterCounty,39.2758333333333,-121.66,,79.0,8392.0,1.869,1.869,0.0,4.839,4.839,0.0,0.0
Livermore,,-121.768055555556,,495.0,83547.0,25.176,25.173,0.003,65.204,65.198,0.007,0.01
Livingston,37.3869444444444,,40.0,131.0,13058.0,3.715,3.715,0.0,9.622,9.622,0.0,0.0
Lodi,38.1288888888889,-121.280833333333,15.0,50.0,62134.0,13.825,13.611,0.214,35.805,35.252,0.553,1.54
LomaLinda,34.0483333333333,-117.250555555556,355.0,1165.0,23261.0,7.517,7.516,0.001,19.47,19.467,0.002,0.01
Lomita,33.7933333333333,-118.316111111111,29.0,95.0,20256.0,1.911,1.911,0.0,4.949,4.949,0.0,0.0
Lompoc,34.6461111111111,-120.460277777778,32.0,105.0,42434.0,11.675,11.597,0.078,30.237,30.037,0.201,
LongBeach,33.7683333333333,-118.195555555556,,0.0,462257.0,51.437,50.293,1.144,133.223,130.259,2.964,
Loomis,38.8163888888889,-121.192777777778,123.0,404.0,6430.0,7.267,7.267,0.0,18.822,18.822,0.0,
LosAlamitos,33.8022222222222,-118.064444444444,7.0,23.0,11449.0,4.116,4.05,0.066,10.659,10.489,0.17,1.6
LosAltos,37.3680555555556,-122.0975,,157.0,28976.0,6.487,6.487,0.0,,,,
LosAltosHills,37.3713888888889,-122.1375,89.0,292.0,7922.0,8.802,8.802,0.0,22.797,22.797,0.0,0.0
LosAngeles,34.05,-118.25,71.0,2.0,3884307.0,503.0,469.0,34.0,1302.0,1214.0,88.0,6.7
LosBanos,37.0583333333333,-120.85,36.0,118.0,35972.0,10.117,9.993,0.124,26.203,25.882,0.321,1.22
LosGatos,37.2361111111111,-121.961666666667,105.0,344.0,29413.0,11.16,11.08,0.08,28.903,28.697,0.206,0.71
Loyalton,39.6766666666667,-120.243055555556,1509.0,4951.0,769.0,0.355,0.355,0.0,0.921,0.921,0.0,0.0
Lynwood,33.9247222222222,-118.201944444444,28.0,92.0,69772.0,4.84,4.84,0.0,12.536,12.536,0.0,0.0
Madera,36.9613888888889,-120.060833333333,83.0,271.0,61416.0,15.789,15.789,0.0,40.894,40.894,0.0,0.0
Malibu,34.03,-118.75,32.0,105.0,12645.0,19.828,19.785,0.043,51.354,51.242,0.113,0.22
MammothLakes,37.6486111111111,-118.971944444444,2402.0,7880.0,8234.0,25.306,24.866,0.44,65.541,64.402,1.139,1.74
ManhattanBeach,33.8888888888889,-118.405277777778,20.0,67.0,35135.0,3.941,3.937,0.004,10.208,10.197,0.01,0.1
Manteca,37.8027777777778,-121.220833333333,11.0,38.0,71067.0,17.757,17.733,0.024,45.991,45.929,0.062,0.13
Maricopa,35.0588888888889,-119.400833333333,269.0,883.0,1154.0,1.502,1.502,0.0,3.89,3.89,0.0,0.0
Marina,36.6844444444444,-121.802222222222,13.0,43.0,29718.0,9.763,8.883,0.88,25.287,23.007,2.28,9.02
Martinez,38.0194444444444,-122.134166666667,7.0,23.0,35824.0,13.135,12.131,1.004,34.019,31.42,2.6,7.64
Marysville,39.15,-121.583333333333,19.0,62.0,12072.0,3.585,3.464,0.121,9.284,8.971,0.312,3.36
Maywood,33.9877777777778,-118.186666666667,46.0,151.0,27395.0,1.178,1.178,0.0,3.052,3.052,0.0,0.0
McFarland,35.6780555555556,-119.229166666667,108.0,354.0,13745.0,2.668,2.668,0.0,6.91,6.91,0.0,0.0
Mendota,36.7536111111111,-120.381666666667,53.0,174.0,11014.0,3.281,3.278,0.003,8.499,8.491,0.008,0.1
Menifee,33.6783333333333,-117.166944444444,434.0,1424.0,77519.0,46.607,46.466,0.141,120.711,120.345,0.365,0.3
MenloPark,37.4527777777778,-122.183333333333,22.0,72.0,32026.0,17.415,9.79,7.625,45.105,25.355,19.75,
Merced,37.3,-120.483333333333,52.0,171.0,80793.0,23.316,23.316,0.0,60.389,60.389,0.0,
Millbrae,37.6008333333333,-122.401388888889,,33.0,21536.0,3.259,3.247,0.012,8.439,8.409,0.03,
MillValley,37.9061111111111,-122.545,,79.0,13903.0,4.847,4.763,0.084,12.555,12.336,0.219,
Milpitas,37.4347222222222,-121.895,5.0,16.0,70092.0,13.641,13.591,0.05,35.328,35.2,0.128,0.36
MissionViejo,33.6127777777778,-117.656111111111,121.0,448.0,96346.0,18.123,17.739,0.384,46.939,45.944,0.995,2.12
Modesto,37.6613888888889,-120.994444444444,27.0,89.0,201165.0,37.092,36.867,0.225,96.069,95.486,0.583,0.61
Monrovia,34.1441666666667,-118.001944444444,174.0,571.0,36590.0,13.714,13.605,0.109,35.519,35.237,0.282,0.79
Montague,41.7272222222222,-122.526388888889,774.0,2539.0,1443.0,1.793,1.778,0.015,4.644,4.605,0.039,0.85
Montclair,34.0708333333333,-117.6975,326.0,1066.0,36664.0,5.517,5.517,0.0,14.289,14.289,0.0,0.0
Montebello,34.0144444444444,-118.114444444444,61.0,200.0,62500.0,8.373,8.333,0.04,21.685,21.581,0.104,0.48
Monterey,36.6,-121.9,8.0,26.0,27810.0,11.764,8.466,3.298,30.469,21.927,8.542,28.03
MontereyPark,34.0491666666667,-118.135555555556,117.0,384.0,60269.0,7.733,7.672,0.061,20.029,19.87,0.158,0.79
MonteSereno,37.2380555555556,-121.989444444444,,515.0,3341.0,1.615,1.615,0.0,4.184,4.184,0.0,0.0
Moorpark,34.2808333333333,-118.873333333333,157.0,515.0,34421.0,12.799,12.579,0.22,33.149,32.58,0.569,1.72
Moraga,37.835,-122.129722222222,,,16016.0,9.442,9.433,0.009,24.455,24.432,0.023,0.09
MorenoValley,33.9430555555556,-117.228333333333,497.0,1631.0,193365.0,51.475,51.275,0.2,133.319,132.8,0.519,0.39
MorganHill,37.1305555555555,-121.654444444444,107.0,350.0,37882.0,12.882,12.882,0.0,33.363,33.363,0.0,0.0
MorroBay,35.3791666666667,-120.853333333333,19.0,62.0,10234.0,10.322,5.303,5.019,26.734,13.734,13.0,48.63
MountainView,37.3894444444444,-122.081944444444,32.0,105.0,74066.0,12.273,11.995,0.278,31.788,31.068,0.72,2.26
MountShasta,,,1099.0,3606.0,3394.0,3.77,3.766,0.004,9.764,9.754,0.01,0.1
Murrieta,33.5694444444445,-117.2025,334.0,1096.0,103466.0,33.613,33.577,0.036,87.058,86.964,0.094,0.11
Napa,38.3047222222222,-122.298888888889,,20.0,76915.0,18.147,17.839,0.308,47.0,46.203,0.797,1.69
NationalCity,32.6780555555556,-117.099166666667,21.0,69.0,58582.0,9.116,7.277,1.839,23.609,18.847,4.762,20.17
Needles,34.8383333333333,-114.611111111111,151.0,495.0,4844.0,31.275,30.808,0.467,81.002,79.793,1.209,
NevadaCity,39.2613888888889,-121.018611111111,755.0,2477.0,3068.0,2.192,2.188,0.004,5.677,5.667,0.01,
Newark,37.5333333333333,-122.033333333333,,20.0,43539.0,13.898,13.875,0.023,35.996,35.936,0.061,
Newman,37.315,-121.0225,27.0,89.0,10224.0,2.102,2.102,0.0,5.444,5.444,0.0,0.0
NewportBeach,33.6166666666667,-117.8975,3.0,,85186.0,52.978,23.805,29.173,137.211,61.654,75.557,55.07
Norco,33.9311111111111,-117.548611111111,195.0,640.0,27063.0,14.278,13.962,0.316,36.98,36.161,0.819,2.22
Norwalk,33.9069444444444,-118.083333333333,28.0,92.0,105549.0,9.746,9.707,0.039,25.243,25.141,0.102,0.4
Novato,38.1075,-122.569722222222,9.0,30.0,51904.0,27.957,27.44,0.517,72.407,71.068,1.339,1.85
Oakdale,37.7691666666667,-120.856944444444,48.0,157.0,20675.0,6.095,6.045,0.05,15.784,15.655,0.129,0.81
Oakland,37.8044444444444,-122.270833333333,,43.0,406253.0,78.002,55.786,22.216,202.024,144.485,57.54,28.48
Oakley,37.9975,-121.7125,6.0,20.0,35432.0,16.155,15.853,0.302,41.842,41.059,0.783,1.87
Oceanside,33.2116666666667,-117.325833333333,20.0,66.0,183095.0,42.174,41.235,0.939,109.231,106.798,2.433,2.23
Ojai,34.4491666666667,-119.246666666667,227.0,745.0,7461.0,4.401,4.386,0.015,11.398,11.359,0.04,0.35
Ontario,34.0527777777778,-117.627777777778,282.0,925.0,163924.0,50.006,49.941,0.065,129.515,129.345,0.17,0.13
Orange,33.8030555555556,-117.8325,59.0,195.0,136416.0,25.24,24.797,0.443,65.371,64.224,1.147,1.75
OrangeCove,36.6244444444444,-119.313611111111,129.0,423.0,9078.0,1.912,1.912,0.0,4.951,4.951,0.0,0.0
Orinda,37.8827777777778,-122.179722222222,151.0,495.0,18342.0,12.698,12.683,0.015,32.887,32.848,0.039,0.12
Orland,39.7475,-122.196388888889,79.0,259.0,7291.0,2.971,2.971,0.0,7.696,7.696,0.0,0.0
Oroville,39.5166666666667,-121.55,51.0,167.0,15506.0,13.011,12.993,0.018,33.701,33.653,0.048,0.14
Oxnard,34.1913888888889,-119.1825,16.0,52.0,203585.0,39.208,26.894,12.314,101.548,69.656,31.893,31.41
Pacifica,37.6227777777778,-122.485555555556,25.0,82.0,37234.0,12.66,12.658,0.002,32.789,32.784,0.005,0.01
PacificGrove,36.6177777777778,-121.916666666667,46.0,151.0,15295.0,4.003,2.865,1.138,10.366,7.419,2.946,28.42
Palmdale,34.5811111111111,-118.100555555556,810.0,2657.0,152750.0,106.216,105.961,0.255,275.099,274.439,0.66,0.24
PalmDesert,33.7255555555556,-116.369444444444,67.0,220.0,48445.0,27.014,26.81,0.204,69.966,69.437,0.529,0.76
PalmSprings,33.8238888888889,-116.530277777778,146.0,440.0,44552.0,94.975,94.116,0.859,245.984,243.761,2.224,0.9
PaloAlto,37.4291666666667,-122.138055555556,9.0,30.0,64403.0,25.787,23.884,1.903,66.787,61.858,4.929,7.38
PalosVerdesEstates,33.7869444444444,-118.396666666667,64.0,210.0,13438.0,4.774,4.774,0.0,12.365,12.364,0.001,0.01
Paradise,39.7597222222222,-121.621388888889,542.0,1778.0,26249.0,18.322,18.308,0.014,47.455,47.418,0.037,0.08
Paramount,33.9,-118.166666666667,21.0,69.0,54098.0,4.84,4.729,0.111,12.536,12.249,0.286,2.28
Parlier,36.6116666666667,-119.526944444444,105.0,344.0,14494.0,2.194,2.194,0.0,5.682,5.682,0.0,0.0
Pasadena,34.1561111111111,-118.131944444444,263.0,863.0,137122.0,23.128,22.97,0.158,59.902,59.493,0.409,0.68
PasoRobles,35.6408333333333,-120.653888888889,242.0,,29792.0,19.425,19.12,0.305,50.312,49.522,0.79,1.57
Patterson,37.4730555555556,-121.132777777778,31.0,102.0,20413.0,5.954,5.954,0.0,15.421,15.421,0.0,0.0
Perris,33.7966666666667,-117.224444444444,443.0,1453.0,71326.0,31.503,31.393,0.11,81.594,81.308,0.286,0.35
Petaluma,38.2458333333333,-122.631388888889,9.0,30.0,58921.0,14.489,14.382,0.107,37.527,37.249,0.278,0.74
PicoRivera,33.9888888888889,-118.089166666667,50.0,164.0,62942.0,8.882,8.296,0.586,23.003,21.485,1.518,6.6
Piedmont,37.8166666666667,-122.233333333333,,331.0,10667.0,1.678,1.678,0.0,4.345,4.345,0.0,0.0
Pinole,38.0044444444444,-122.291111111111,31.0,23.0,18390.0,13.575,5.323,8.252,35.16,13.787,21.372,60.79
PismoBeach,35.1483333333333,-120.648055555556,17.0,56.0,7655.0,13.476,3.599,9.877,34.904,9.322,25.582,73.29
Pittsburg,38.0280555555556,-121.884722222222,8.0,26.0,63264.0,19.154,17.218,1.936,49.61,44.595,5.015,10.11
Placentia,33.8825,-117.855,83.0,272.0,50533.0,6.582,6.568,0.014,17.048,17.011,0.037,
Placerville,38.7297222222222,-120.798611111111,,1867.0,10389.0,5.813,5.812,0.001,15.054,15.052,0.002,
PleasantHill,37.9480555555556,-122.0525,16.0,52.0,33152.0,7.072,7.072,0.0,18.315,18.315,0.0,
Pleasanton,37.6625,-121.874722222222,,351.0,70285.0,24.266,24.113,0.153,62.847,62.452,0.395,
Plymouth,38.4819444444444,-120.844722222222,330.0,1083.0,1005.0,0.944,0.931,0.013,2.444,2.411,0.033,1.34
PointArena,38.9088888888889,-123.693055555556,36.0,118.0,449.0,1.35,1.35,0.0,3.496,3.496,0.0,0.0
Pomona,34.0608333333333,-117.755833333333,259.0,850.0,1.0,22.964,22.952,0.012,59.474,59.444,0.03,0.05
Porterville,36.0686111111111,-119.0275,139.0,459.0,55697.0,17.679,17.607,0.072,45.79,45.603,0.188,0.41
PortHueneme,34.1602777777778,-119.194444444444,4.0,12.0,21723.0,4.671,4.451,0.22,12.096,11.528,0.569,4.7
Portola,39.8102777777778,-120.469722222222,1480.0,4856.0,2104.0,5.407,5.407,0.0,14.003,14.003,0.0,0.0
PortolaValley,37.375,-122.218611111111,140.0,459.0,4353.0,9.093,9.092,0.001,23.551,23.547,0.004,0.02
Poway,32.97,-117.038611111111,157.0,515.0,47811.0,39.165,39.079,0.086,101.438,101.214,0.223,0.22
RanchoCordova,38.5891666666667,-121.302777777778,27.0,89.0,64776.0,33.874,33.507,0.367,87.733,86.782,0.951,1.08
RanchoCucamonga,34.1233333333333,-117.579444444444,368.0,1207.0,170746.0,39.871,39.851,0.02,103.263,103.212,0.051,0.05
RanchoMirage,33.7691666666667,-116.421111111111,83.0,272.0,17218.0,,24.447,0.389,64.326,63.318,1.008,1.57
RanchoPalosVerdes,33.7583333333333,-118.364166666667,67.0,220.0,41643.0,13.465,13.465,0.0,34.875,34.874,0.001,0.0
RanchoSantaMargarita,33.6413888888889,-117.594444444444,290.0,775.0,47853.0,12.992,12.957,0.035,33.651,33.56,0.091,
RedBluff,40.1766666666667,-122.238055555556,93.0,305.0,24674.0,7.677,7.563,0.114,19.882,19.587,0.295,
Redding,40.5833333333333,-122.366666666667,151.0,495.0,92328.0,61.175,59.647,1.528,158.442,154.485,3.957,
Redlands,34.0547222222222,-117.1825,414.0,1358.0,68747.0,,36.126,0.301,94.344,93.565,0.779,
RedondoBeach,33.8563888888889,-118.376944444444,,62.0,66748.0,6.208,6.198,,16.08,16.054,0.026,0.16
RedwoodCity,37.4827777777778,-122.236111111111,6.0,20.0,76815.0,34.625,19.42,15.205,89.677,50.297,39.38,43.91
Reedley,36.5963888888889,-119.450277777778,106.0,348.0,24194.0,5.156,5.084,0.072,13.352,13.166,0.185,1.39
Rialto,34.1113888888889,-117.3825,383.0,1257.0,101740.0,22.365,22.351,0.014,57.926,57.889,0.037,0.06
Richmond,37.9358333333333,-122.347777777778,14.0,46.0,103701.0,52.48,30.068,22.412,135.923,77.875,58.048,42.71
Ridgecrest,35.6225,-117.670833333333,698.0,2290.0,27616.0,21.417,20.766,0.651,55.469,53.783,1.685,3.04
RioDell,40.4991666666667,-124.106388888889,49.0,161.0,3363.0,2.418,2.282,0.136,6.261,5.91,0.351,5.61
RioVista,38.1638888888889,-121.695833333333,6.0,20.0,7360.0,7.094,6.691,0.403,18.375,17.33,1.044,
Ripon,37.7405555555556,-121.128333333333,21.0,69.0,14297.0,5.495,5.305,0.19,14.232,13.739,0.493,
Riverbank,37.7313888888889,-120.943611111111,43.0,141.0,22678.0,4.116,4.092,0.024,10.661,10.599,0.062,
Riverside,33.9480555555556,-117.396111111111,262.0,860.0,313673.0,81.444,81.14,0.304,210.941,210.152,0.788,
Rocklin,38.8,-121.246666666667,79.0,249.0,56974.0,19.594,19.541,0.053,50.749,50.61,0.139,0.27
RohnertPark,38.3472222222222,-122.695277777778,32.0,105.0,40971.0,7.008,7.003,0.005,18.149,18.136,0.013,0.07
RollingHills,33.7594444444444,-118.341666666667,389.0,1276.0,1860.0,2.991,2.991,0.0,7.746,7.746,0.0,0.0
RollingHillsEstates,33.7736111111111,-118.360833333333,143.0,469.0,8067.0,3.613,3.569,0.044,9.359,9.244,0.115,1.22
Rosemead,34.0666666666667,-118.083333333333,97.0,318.0,53764.0,5.176,5.162,0.014,13.406,13.37,0.035,0.26
Roseville,38.7525,-121.289444444444,50.0,164.0,127323.0,36.223,36.222,0.001,93.817,93.814,0.003,0.0
Ross,37.9625,-122.555,11.0,36.0,2415.0,1.556,1.556,0.0,4.031,4.031,0.0,0.0
Sacramento,38.5555555555555,-121.468888888889,9.0,30.0,466488.0,100.105,97.915,2.19,259.273,253.6,5.673,2.19
Salinas,36.6777777777778,-121.655555555556,16.0,52.0,163665.0,23.217,23.179,0.038,60.131,60.033,0.099,0.16
SanAnselmo,37.9747222222222,-122.561666666667,14.0,46.0,12336.0,2.677,2.677,0.0,6.934,6.934,0.0,0.0
SanBernardino,34.1,-117.3,321.0,1974.0,209924.0,59.645,59.201,0.444,154.48,153.33,1.15,0.74
SanBruno,37.6252777777778,-122.425277777778,5.0,16.0,41114.0,5.478,5.478,0.0,14.188,14.188,0.0,0.0
SanCarlos,37.4991666666667,-122.263333333333,,33.0,28406.0,5.541,5.538,0.003,14.35,14.343,0.007,0.05
SanClemente,33.4377777777778,-117.620277777778,71.0,250.0,63522.0,,18.711,0.757,50.422,48.461,1.961,3.89
SandCity,36.6172222222222,-121.848333333333,22.0,72.0,334.0,2.924,0.562,2.362,7.575,1.457,6.119,80.77
SanDiego,32.715,-117.1625,6.0,3.0,1345895.0,372.4,325.19,47.21,964.51,842.23,122.27,12.68
SanDimas,34.1027777777778,-117.816111111111,,750.0,33371.0,15.427,15.037,0.39,39.957,38.947,1.01,2.53
SanFernando,34.2872222222222,-118.438888888889,326.0,1070.0,23645.0,2.374,2.374,0.0,6.149,6.149,0.0,0.0
SanFrancisco,37.7833333333333,-122.416666666667,,52.0,837442.0,231.89,46.87,185.02,,,,80.0
SanGabriel,34.0941666666667,-118.098333333333,128.0,420.0,39718.0,4.146,4.145,0.001,10.736,10.734,0.002,0.02
Sanger,36.7080555555556,-119.555833333333,,371.0,24270.0,5.524,5.524,0.0,14.307,14.307,0.0,
SanJacinto,33.7872222222222,-116.966666666667,477.0,1565.0,44199.0,26.131,25.716,0.415,67.679,66.605,1.074,
SanJoaquin,36.6066666666667,-120.189166666667,53.0,174.0,4001.0,1.148,1.148,0.0,2.973,2.973,0.0,
SanJose,37.3333333333333,-121.9,26.0,,1000536.0,179.97,176.526,3.439,466.109,457.201,8.908,
SanJuanBautista,36.8441666666667,-121.537222222222,66.0,217.0,1862.0,0.711,0.711,0.0,1.843,1.842,0.001,0.06
SanJuanCapistrano,33.4994444444444,-117.661666666667,37.0,96.0,34593.0,14.295,14.115,0.18,37.024,36.559,0.466,1.26
SanLeandro,37.725,-122.156111111111,15.0,56.0,86869.0,15.663,13.343,2.32,40.565,34.557,6.008,14.81
SanLuisObispo,35.2741666666667,-120.663055555556,71.0,233.0,45119.0,12.93,12.777,0.153,33.489,33.093,0.396,1.18
SanMarcos,33.1419444444444,-117.170277777778,,,83781.0,24.39,24.37,0.02,63.169,63.117,0.053,0.08
SanMarino,34.1227777777778,-118.113055555556,172.0,564.0,13147.0,3.774,3.767,0.007,9.775,9.757,0.018,0.18
SanMateo,37.5541666666667,-122.313055555556,13.0,43.0,97207.0,15.884,12.13,3.754,41.137,31.416,9.722,23.63
SanPablo,37.9622222222222,-122.345555555556,16.0,52.0,29139.0,2.634,2.634,0.0,6.822,6.822,0.0,0.0
SanRafael,37.9736111111111,-122.531111111111,13.0,43.0,57713.0,22.422,16.47,5.952,58.074,42.657,15.417,26.55
SanRamon,37.78,-121.978055555556,146.0,480.0,73927.0,18.077,18.061,0.016,46.819,46.778,0.042,0.09
SantaAna,33.7408333333333,-117.881388888889,35.0,115.0,324528.0,27.518,27.27,0.248,71.271,70.628,0.643,0.9
SantaBarbara,34.4258333333333,-119.714166666667,15.0,49.0,90893.0,41.968,19.468,22.5,108.697,50.422,58.275,53.61
SantaClara,37.3544444444444,-121.969166666667,23.0,75.0,116468.0,18.407,18.407,0.0,47.675,47.675,0.0,0.0
SantaClarita,34.4166666666667,-118.506388888889,368.0,1207.0,209130.0,62.16,62.1,0.06,160.993,160.825,0.168,
SantaCruz,36.9719444444444,-122.026388888889,11.0,36.0,62864.0,15.828,12.74,3.088,40.996,32.997,7.999,
SantaFeSprings,33.9375,-118.067222222222,41.0,135.0,16223.0,8.914,,0.04,23.088,22.985,0.103,
SantaMaria,34.9513888888889,-120.433333333333,67.0,220.0,101459.0,23.395,22.756,0.639,60.592,58.937,1.655,
SantaMonica,34.0219444444444,-118.481388888889,,105.0,89736.0,8.416,8.415,0.001,,,,
SantaPaula,34.3558333333333,-119.068333333333,85.0,279.0,29321.0,4.707,4.593,0.114,12.189,11.895,0.294,2.41
SantaRosa,38.4486111111111,-122.704722222222,50.0,164.0,170685.0,41.499,41.294,0.205,107.481,106.95,0.531,0.49
Santee,32.8697222222222,-116.971111111111,105.0,345.0,53413.0,16.528,16.235,0.293,42.808,42.049,0.759,1.77
Saratoga,37.2725,-122.019444444444,,410.0,29926.0,12.382,12.382,0.0,32.07,32.07,0.0,0.0
Sausalito,37.8591666666667,-122.485277777778,4.0,13.0,7061.0,2.257,1.771,0.486,5.846,4.586,1.259,21.54
ScottsValley,37.0513888888889,-122.013333333333,171.0,561.0,11580.0,4.595,4.595,0.0,11.9,11.9,0.0,0.0
SealBeach,33.7591666666667,-118.0825,4.0,13.0,24168.0,13.04,11.286,1.754,33.775,29.231,4.544,13.45
Seaside,36.6111111111111,-121.844722222222,10.0,33.0,33025.0,9.376,9.237,0.139,24.282,23.923,0.359,1.48
Sebastopol,38.3991666666667,-122.826944444444,25.0,82.0,7379.0,1.853,1.853,0.0,4.799,4.799,0.0,0.0
Selma,36.5708333333333,-119.611944444444,94.0,308.0,23219.0,5.136,5.136,0.0,13.303,13.303,0.0,0.0
Shafter,35.5005555555556,-119.271666666667,106.0,348.0,16988.0,27.945,27.945,0.0,72.376,72.376,0.0,0.0
ShastaLake,40.6780555555556,-122.37,246.0,810.0,10164.0,10.929,10.921,0.008,28.305,28.284,0.02,0.07
SierraMadre,34.1647222222222,-118.050833333333,252.0,827.0,10917.0,2.957,2.953,0.004,7.659,7.647,0.012,0.15
SignalHill,33.79935,-118.16558,45.0,148.0,11465.0,2.191,2.189,0.002,5.673,5.669,0.004,0.08
SimiValley,34.2711111111111,-118.739444444444,234.0,768.0,126874.0,42.247,41.48,0.767,109.418,107.433,1.986,1.81
SolanaBeach,32.9952777777778,-117.260277777778,22.0,72.0,12867.0,3.624,3.52,0.104,9.386,9.115,0.27,
Soledad,36.4247222222222,-121.326388888889,58.0,190.0,25738.0,4.566,4.414,,11.825,11.432,0.393,3.32
Solvang,34.5938888888889,-120.139722222222,154.0,505.0,5245.0,2.426,2.425,0.001,6.284,6.281,0.003,0.05
Sonoma,38.2888888888889,-122.458888888889,26.0,85.0,10648.0,2.742,2.742,0.0,7.102,7.102,0.0,0.0
Sonora,37.9844444444444,-120.381666666667,544.0,1785.0,7169.0,3.078,3.064,0.014,7.972,7.936,0.036,0.45
SouthElMonte,34.0488888888889,-118.048333333333,76.0,249.0,20116.0,2.848,2.843,0.005,7.378,7.364,0.014,0.19
SouthGate,33.9441666666667,-118.195,37.0,120.0,94396.0,7.353,7.236,0.117,19.044,18.742,0.303,1.59
SouthLakeTahoe,38.94,-119.976944444444,1901.0,6237.0,21403.0,16.603,10.161,6.442,43.003,26.318,16.685,38.8
SouthPasadena,34.1130555555556,-118.155833333333,201.0,659.0,25619.0,3.417,3.405,0.012,8.851,8.82,0.031,0.35
SouthSanFrancisco,37.6561111111111,-122.425555555556,4.0,13.0,64409.0,30.158,9.141,21.017,78.109,23.674,54.435,69.69
Stanton,33.8025,-117.994444444444,20.0,66.0,38186.0,3.15,3.15,0.0,8.158,8.158,0.0,0.0
StHelena,38.5052777777778,-122.470277777778,77.0,253.0,5814.0,5.027,4.986,0.041,13.019,12.913,0.106,0.81
Stockton,37.9755555555556,-121.300833333333,4.0,13.0,301090.0,64.753,61.67,3.083,167.708,159.723,7.985,4.76
SuisunCity,38.245,-122.016944444444,2.0,7.0,28111.0,4.163,4.105,0.058,10.783,10.633,0.15,1.39
Sunnyvale,37.3711111111111,-122.0375,39.0,128.0,140081.0,22.689,21.987,0.702,58.765,56.947,1.818,3.09
Susanville,40.4163888888889,-120.653055555556,1276.0,4186.0,17974.0,8.017,7.931,0.086,20.763,20.541,0.222,1.07
SutterCreek,38.3930555555556,-120.8025,362.0,1188.0,2501.0,2.558,2.558,0.0,6.625,6.625,0.0,0.0
Taft,35.1425,-119.456388888889,291.0,955.0,9327.0,15.113,15.113,0.0,39.143,39.143,0.0,0.0
Tehachapi,35.1322222222222,-118.448888888889,1210.0,3970.0,14414.0,9.971,9.874,0.097,25.823,25.573,0.25,0.97
Tehama,40.0244444444444,-122.123888888889,64.0,210.0,418.0,0.794,0.794,0.0,2.057,2.057,0.0,0.0
Temecula,33.5033333333333,-117.123611111111,310.59,1019.0,105208.0,30.167,30.151,0.016,78.133,78.092,0.042,0.05
TempleCity,34.1027777777778,-118.058055555556,122.0,400.0,35558.0,4.006,4.006,0.0,10.374,10.374,0.0,0.0
ThousandOaks,34.1894444444444,-118.875,270.0,886.0,128374.0,55.181,55.031,0.15,142.918,142.53,0.387,0.27
Tiburon,37.8736111111111,-122.456666666667,4.0,13.0,8962.0,13.182,4.446,8.736,34.14,11.515,22.625,66.27
Torrance,33.8347222222222,-118.341388888889,27.0,89.0,147027.0,20.553,20.478,0.075,53.233,53.038,0.195,0.37
Tracy,37.7380555555556,-121.433888888889,16.0,52.0,82922.0,22.139,22.003,0.136,57.34,56.987,0.352,0.61
Trinidad,41.0591666666667,-124.143055555556,53.0,174.0,367.0,0.671,0.485,0.186,1.737,1.255,0.482,27.75
Truckee,39.3422222222222,-120.203611111111,1773.0,5817.0,16180.0,33.654,32.322,1.332,87.162,83.713,3.449,3.96
Tulare,36.2066666666667,-119.3425,88.0,289.0,59278.0,21.016,20.931,0.085,54.433,54.212,0.221,0.41
Tulelake,41.9541666666667,-121.475833333333,1230.0,4035.0,1010.0,0.412,0.41,0.002,1.067,1.061,0.006,0.58
Turlock,37.5058333333333,-120.848888888889,31.0,102.0,69733.0,16.928,16.928,0.0,43.844,43.844,0.0,0.0
Tustin,33.7397222222222,-117.813611111111,43.0,141.0,75540.0,11.082,11.082,0.0,28.701,28.701,0.0,0.0
TwentyninePalms,34.1383333333333,-116.0725,607.0,1991.0,25768.0,59.143,59.143,0.0,153.179,153.179,0.0,0.0
Ukiah,39.1502777777778,-123.207777777778,193.0,639.0,16075.0,4.722,4.67,0.052,12.232,12.096,0.136,1.11
UnionCity,37.5869444444444,-122.025833333333,,,72155.0,19.0,19.0,0.0,,,,
Upland,34.1,-117.65,405.0,1328.0,73732.0,15.651,15.617,0.034,40.535,40.448,0.087,0.21
Vacaville,38.3538888888889,-121.972777777778,53.0,174.0,92428.0,28.585,28.373,0.212,74.034,73.485,0.55,0.74
Vallejo,38.1130555555556,-122.235833333333,21.0,60.0,115942.0,49.5,30.6,18.8,128.3,79.4,48.8,38.0
Ventura,34.275,-119.227777777778,,,106433.0,32.095,21.655,10.44,83.124,56.085,27.039,32.53
Vernon,34.0011111111111,-118.211111111111,62.0,203.0,112.0,5.157,4.973,0.184,13.357,12.88,0.476,3.57
Victorville,34.5361111111111,-117.288333333333,832.0,2726.0,120336.0,73.741,73.178,0.563,190.988,189.529,1.459,0.76
VillaPark,33.8161111111111,-117.811111111111,104.0,341.0,5812.0,2.078,2.078,0.0,5.383,5.383,0.0,0.0
